entity_id,category,category_readable,entity_alias,entity_alias_basket,entity_alias_readable,entity_alias_synonyms,entity_alias_url,natural_source_name,natural_source_url
426,flower,Flower,,,Sunflower,Helianthus,https://en.wikipedia.org/wiki/Sunflower,Helianthus,https://en.wikipedia.org/wiki/Helianthus
427,vegetable-cabbage,Cabbage,,,Swamp cabbage,"Water spinach, River spinach, Water morning glory, Water convolvulus",https://en.wikipedia.org/wiki/Ipomoea_aquatica,Ipomoea,https://en.wikipedia.org/wiki/Ipomoea
428,nutseed-legume,Legume,,,Grass pea,"Grass pea, Blue sweet pea, Chickling pea, Chickling vetch, Indian pea, White pea, White vetch",https://en.wikipedia.org/wiki/Lathyrus_sativus,Lathyrus,https://en.wikipedia.org/wiki/Lathyrus
429,nutseed-legume,Legume,,,Lentils,Lentils,https://en.wikipedia.org/wiki/Lentils,Lens,https://en.wikipedia.org/wiki/Lens_(plant)
430,herb,Herb,,,Garden cress,"Mustard, Cress, Garden pepper cress, Pepperwort, Pepper grass, Poor man's pepper",https://en.wikipedia.org/wiki/Garden_cress,Lepidium,https://en.wikipedia.org/wiki/Lepidium
431,herb,Herb,,,Mexican oregano,"Mexican oregano, Redbrush lippia, Or̩gano Cimmaron, Scented lippia, Scented matgrass",https://en.wikipedia.org/wiki/Mexican_oregano,Lippia,https://en.wikipedia.org/wiki/Lippia
432,plant,Plant,,,Lupine,"Lupin, Tarwi, Chocho",https://en.wikipedia.org/wiki/Lupin,Lupinus,https://en.wikipedia.org/wiki/Lupinus
433,fruit,Fruit,,,Medlar,Common medlar,https://en.wikipedia.org/wiki/Medlar, Mespilus,https://en.wikipedia.org/wiki/Mespilus
434,fruit-berry,Berry,,,Mulberry,Mulberry,https://en.wikipedia.org/wiki/Mulberry,Morus,https://en.wikipedia.org/wiki/Morus_(plant)
435,fruit-berry,Berry,,,Black mulberry,Black mulberry,https://en.wikipedia.org/wiki/Black_mulberry,Morus,https://en.wikipedia.org/wiki/Morus_(plant)
436,herb,Herb,,,Evening primrose,Evening primrose,https://en.wikipedia.org/wiki/Evening_primrose,Oenothera,https://en.wikipedia.org/wiki/Oenothera
437,nutseed-legume,Legume,,,Millet,Millet,https://en.wikipedia.org/wiki/Millet,Poaceae,https://en.wikipedia.org/wiki/Poaceae
438,nutseed-legume,Legume,,,Scarlet bean,"Runner bean, Scarlet runner bean,  Multiflora bean",https://en.wikipedia.org/wiki/Phaseolus_coccineus,Phaseolus,https://en.wikipedia.org/wiki/Phaseolus
439,nutseed-nut,Nut,,,Pistachio,Pistachio,https://en.wikipedia.org/wiki/Pistachio,Pistacia,https://en.wikipedia.org/wiki/Pistacia
440,plant,Plant,,,Purslane,Purslane,https://en.wikipedia.org/wiki/Portulaca_oleracea,Portulaca,https://en.wikipedia.org/wiki/Portulaca
441,fruit-berry,Berry,,,Red raspberry,European raspberry,https://en.wikipedia.org/wiki/Red_raspberry,Rubus,https://en.wikipedia.org/wiki/Rubus
442,fruit-berry,Berry,,,Black raspberry,"Wild black raspberry, Black caps, Black cap raspberry, Thimbleberry, Scotch cap",https://en.wikipedia.org/wiki/Rubus_occidentalis,Rubus,https://en.wikipedia.org/wiki/Rubus
443,herb,Herb,,,Sorrel,"Common sorrel, Garden sorrel,  Spinach dock, Narrow-leaved dock",https://en.wikipedia.org/wiki/Sorrel,Rumex,https://en.wikipedia.org/wiki/Rumex
444,herb,Herb,,,Summer savory,Summer savory,https://en.wikipedia.org/wiki/Summer_savory,Satureja,https://en.wikipedia.org/wiki/Satureja
445,herb,Herb,,,Winter savory,Winter savory,https://en.wikipedia.org/wiki/Winter_savory,Satureja,https://en.wikipedia.org/wiki/Satureja
446,fruit-berry,Berry,,,Cherry tomato,Cherry tomato,https://en.wikipedia.org/wiki/Cherry_tomato,Solanum,https://en.wikipedia.org/wiki/Solanum
447,fruit-berry,Berry,,,Rowanberry,"Rowan, mountain-ash, Amur mountain ash, European mountain ash, Quick beam, Quickbeam, Rowan berry",https://en.wikipedia.org/wiki/Rowanberry,Sorbus,https://en.wikipedia.org/wiki/Sorbus_aucuparia
448,cerealcrop-cereal,Cereal,,,Sorghum,"Sorghum, Great millet, Durra, Jowari, Milo,",https://en.wikipedia.org/wiki/Sorghum_bicolor,Sorghum,https://en.wikipedia.org/wiki/Sorghum
449,flower,Flower,,,Dandelion,common dandelion,https://en.wikipedia.org/wiki/Dandelion,Taraxacum,https://en.wikipedia.org/wiki/Taraxacum
450,herb,Herb,,,Linden,"Linden, Common linden",https://en.wikipedia.org/wiki/Tilia_%C3%97_europaea,Tilia,https://en.wikipedia.org/wiki/Tilia
451,plant,Plant,,,Small leaf linden,"Small-leaved lime, Littleleaf linden, Small-leaved linden",https://en.wikipedia.org/wiki/Tilia_cordata,Tilia,https://en.wikipedia.org/wiki/Tilia
452,cerealcrop-cereal,Cereal,,,Wheat,"Common wheat, Bread wheat",https://en.wikipedia.org/wiki/Common_wheat,Triticum,https://en.wikipedia.org/wiki/Wheat
453,fruit-berry,Berry,,,Sparkleberry, Farkleberry,https://en.wikipedia.org/wiki/Sparkleberry,Vaccinium,https://en.wikipedia.org/wiki/Vaccinium
454,herb,Herb,,,Common verbena,"Common vervain, Common verbena",https://en.wikipedia.org/wiki/Verbena_officinalis,Verbena,https://en.wikipedia.org/wiki/Verbena
455,nutseed-legume,Legume,,,Adzuki bean,"azuki, aduki, Red mung bean",https://en.wikipedia.org/wiki/Azuki_bean,Vigna,https://en.wikipedia.org/wiki/Vigna
456,nutseed-legume,Legume,,,Gram bean,"Vigna mungo, Black gram, Urad bean, Mungo bean, Black matpe bean",https://en.wikipedia.org/wiki/Vigna_mungo,Vigna,https://en.wikipedia.org/wiki/Vigna
457,nutseed-legume,Legume,,,Mung bean,"Moong bean, Green gram, Mung",https://en.wikipedia.org/wiki/Mung_bean,Vigna,https://en.wikipedia.org/wiki/Vigna
458,nutseed-legume,Legume,,,Climbing bean,"Ricebean, Rice bean",https://en.wikipedia.org/wiki/Vigna_umbellata,Vigna,https://en.wikipedia.org/wiki/Vigna
459,fruit,Fruit,,,Muscadine grape,muscadine,https://en.wikipedia.org/wiki/Muscadine,Vitis,https://en.wikipedia.org/wiki/Vitis
460,fruit-berry,Berry,,,Bayberry,"Bay-rum tree, Candleberry, Sweet gale, Wax-myrtle",https://en.wikipedia.org/wiki/Bayberry,Myrica,https://en.wikipedia.org/wiki/Myrica
461,fruit-berry,Berry,,,Elliott's blueberry,Elliott's blueberry,https://en.wikipedia.org/wiki/Vaccinium_elliottii,Vaccinium,https://en.wikipedia.org/wiki/Vaccinium
